RecordID,WeekStart,Movie,Franchise,Genre,Language,CountryOfOrigin,ReleaseDate,AgeRating,MarketCountry,MarketCity,Screens,TicketsSold,AvgTicketPriceINR,WeeklyGrossINR,Format,Distribution,LeadStarPower,StreamingRelease,Platform,SocialBuzz,AudienceRating,CriticScore,HasPostCreditScene,Notes,CumulativeGrossINR
1,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Mumbai,105,48875,181.06,8849307.5,2D,Single Screen,Medium,Yes,JioCinema,733,7.1,79,Yes,,83227024.82000001
2,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Mumbai,178,96207,239.53,23044462.71,3D,Multiplex,High,Yes,Crunchyroll,781,9.2,82,Yes,,160534806.43
3,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Mumbai,98,29841,237.19,7077986.79,2D,Mixed,Medium,Yes,Netflix,632,7.0,59,No,,69232011.04
4,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Delhi,78,30384,217.48,6607912.32,2D,Single Screen,Medium,No,JioCinema,702,7.7,73,No,,83227024.82000001
5,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Delhi,125,56553,237.85,13451131.05,2D,Mixed,High,Yes,Crunchyroll,897,8.6,86,No,,160534806.43
6,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Delhi,79,30057,185.71,5581885.47,2D,Multiplex,Medium,Yes,Netflix,599,6.9,57,No,,69232011.04
7,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Ahmedabad,74,29935,183.89,5504747.15,2D,Single Screen,Medium,No,JioCinema,966,8.3,75,Yes,,83227024.82000001
8,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Ahmedabad,117,44531,151.42,6742884.02,3D,Multiplex,High,Yes,Crunchyroll,939,8.2,90,No,,160534806.43
9,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Ahmedabad,59,14950,193.61,2894469.5,2D,Single Screen,Medium,Yes,Netflix,806,7.0,65,Yes,,69232011.04
10,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Bengaluru,91,34728,216.56,7520695.68,2D,Mixed,Medium,Yes,JioCinema,872,7.2,79,No,,83227024.82000001
11,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Bengaluru,113,64706,211.19,13665260.14,IMAX,Mixed,High,Yes,Crunchyroll,949,8.7,82,Yes,,160534806.43
12,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Bengaluru,85,26804,227.6,6100590.4,2D,Mixed,Medium,Yes,Netflix,702,6.7,60,No,,69232011.04
13,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,Japan,Tokyo,81,34221,322.28,11028743.88,2D,Multiplex,Medium,No,JioCinema,755,7.8,69,No,,83227024.82000001
14,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,Japan,Tokyo,86,35739,299.28,10695967.92,2D,Single Screen,High,No,Crunchyroll,1229,8.9,86,Yes,,160534806.43
15,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,Japan,Tokyo,73,24880,325.08,8087990.4,2D,Mixed,Medium,Yes,Netflix,696,7.0,58,No,,69232011.04
16,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,Japan,Osaka,75,24106,283.63,6837184.78,2D,Mixed,Medium,No,JioCinema,1060,8.6,66,Yes,,83227024.82000001
17,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,Japan,Osaka,108,59545,285.44,16996524.8,2D,Single Screen,High,No,Crunchyroll,1073,8.4,83,Yes,,160534806.43
18,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,Japan,Osaka,39,8123,320.08,2600009.84,2D,Mixed,Medium,Yes,Netflix,862,7.1,59,No,,69232011.04
19,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,USA,Los Angeles,61,17995,415.79,7482141.05,2D,Multiplex,Medium,No,JioCinema,950,7.7,67,No,,83227024.82000001
20,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,USA,Los Angeles,103,47523,462.74,21990793.02,2D,Multiplex,High,No,Crunchyroll,982,8.3,85,No,,160534806.43
21,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,USA,Los Angeles,69,25345,468.52,11874639.4,2D,Mixed,Medium,No,Netflix,771,6.8,59,Yes,,69232011.04
22,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,USA,New York,60,24266,415.06,10071845.96,2D,Multiplex,Medium,Yes,JioCinema,911,7.8,71,Yes,,83227024.82000001
23,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,USA,New York,86,44201,460.79,20367378.79,2D,Multiplex,High,No,Crunchyroll,631,8.5,87,Yes,,160534806.43
24,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,USA,New York,53,20991,514.86,10807426.26,2D,Single Screen,Medium,No,Netflix,733,7.2,60,Yes,,69232011.04
25,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,Canada,Toronto,64,22015,381.51,8398942.65,2D,Multiplex,Medium,Yes,JioCinema,1010,7.6,73,No,,83227024.82000001
26,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,Canada,Toronto,93,52562,415.32,21830049.84,3D,Single Screen,High,No,Crunchyroll,1047,8.5,80,Yes,,160534806.43
27,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,Canada,Toronto,58,19089,374.5,7148830.5,2D,Single Screen,Medium,Yes,Netflix,856,7.2,64,Yes,,69232011.04
28,2025-08-04,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,UK,London,60,28793,379.45,10925503.85,2D,Multiplex,Medium,No,JioCinema,1132,7.4,70,Yes,,83227024.82000001
29,2025-08-04,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,UK,London,51,31714,370.51,11750354.14,IMAX,Mixed,High,No,Crunchyroll,783,8.6,85,Yes,,160534806.43
30,2025-08-04,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,UK,London,57,18968,372.11,7058182.48,3D,Multiplex,Medium,Yes,Netflix,691,6.2,61,Yes,,69232011.04
31,2025-08-11,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Mumbai,124,54000,191.1,10319400.0,3D,Single Screen,Medium,No,JioCinema,729,7.6,70,Yes,,165393730.06
32,2025-08-11,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Mumbai,152,68685,218.18,14985693.3,3D,Single Screen,High,No,Crunchyroll,819,8.3,84,No,,314578261.38
33,2025-08-11,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,India,Mumbai,127,82718,234.71,19414741.78,2D,Single Screen,High,Yes,Prime Video,1253,7.2,68,Yes,,166866277.81
34,2025-08-11,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Mumbai,89,18863,222.11,4189660.93,2D,Multiplex,Medium,Yes,Netflix,463,6.9,58,Yes,,157027124.8
35,2025-08-11,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,India,Mumbai,103,42238,197.56,8344539.28,2D,Single Screen,Medium,No,Disney+,1015,8.0,73,Yes,,81757931.48
36,2025-08-11,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Delhi,109,29472,186.25,5489160.0,2D,Mixed,Medium,Yes,JioCinema,606,7.8,73,No,,165393730.06
37,2025-08-11,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Delhi,94,45526,231.67,10547008.42,IMAX,Multiplex,High,No,Crunchyroll,672,8.7,83,Yes,,314578261.38
38,2025-08-11,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,India,Delhi,111,66600,189.73,12636018.0,2D,Mixed,High,No,Prime Video,1242,7.6,65,Yes,,166866277.81
39,2025-08-11,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Delhi,85,34063,181.64,6187203.32,2D,Mixed,Medium,Yes,Netflix,560,7.0,58,No,,157027124.8
40,2025-08-11,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,India,Delhi,86,31815,224.27,7135150.05,2D,Single Screen,Medium,No,Disney+,1045,7.3,76,Yes,,81757931.48
41,2025-08-11,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Ahmedabad,70,21111,203.9,4304532.9,2D,Multiplex,Medium,No,JioCinema,733,7.5,70,Yes,,165393730.06
42,2025-08-11,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Ahmedabad,90,27079,180.55,4889113.45,2D,Mixed,High,Yes,Crunchyroll,813,8.8,84,Yes,,314578261.38
43,2025-08-11,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,India,Ahmedabad,93,66412,208.92,13874795.04,2D,Single Screen,High,Yes,Prime Video,1268,6.8,70,Yes,,166866277.81
44,2025-08-11,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Ahmedabad,61,22745,208.32,4738238.4,2D,Single Screen,Medium,No,Netflix,505,6.6,54,Yes,,157027124.8
45,2025-08-11,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,India,Ahmedabad,63,24652,133.28,3285618.56,2D,Mixed,Medium,No,Disney+,897,7.2,72,Yes,,81757931.48
46,2025-08-11,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Bengaluru,79,32489,216.42,7031269.38,2D,Single Screen,Medium,Yes,JioCinema,745,7.8,71,No,,165393730.06
47,2025-08-11,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Bengaluru,92,35659,219.04,7810747.36,2D,Single Screen,High,No,Crunchyroll,818,9.2,86,No,,314578261.38
48,2025-08-11,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,India,Bengaluru,117,55032,239.05,13155399.6,2D,Mixed,High,No,Prime Video,1222,7.7,65,No,,166866277.81
49,2025-08-11,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Bengaluru,78,22653,219.81,4979355.93,2D,Multiplex,Medium,Yes,Netflix,508,7.7,60,No,,157027124.8
50,2025-08-11,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,India,Bengaluru,79,38179,212.02,8094711.58,2D,Mixed,Medium,No,Disney+,782,7.4,76,Yes,,81757931.48
51,2025-08-11,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,Japan,Tokyo,64,28008,292.94,8204663.52,2D,Mixed,Medium,No,JioCinema,904,7.7,68,No,,165393730.06
52,2025-08-11,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,Japan,Tokyo,105,56761,329.09,18679477.49,IMAX,Mixed,High,No,Crunchyroll,865,8.3,86,No,,314578261.38
53,2025-08-11,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,Japan,Tokyo,107,57328,292.44,16765000.32,2D,Mixed,High,Yes,Prime Video,1569,7.4,62,No,,166866277.81
54,2025-08-11,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,Japan,Tokyo,92,30525,290.5,8867512.5,2D,Single Screen,Medium,No,Netflix,691,7.7,55,No,,157027124.8
55,2025-08-11,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,Japan,Tokyo,86,40692,314.0,12777288.0,2D,Mixed,Medium,No,Disney+,1013,7.3,78,No,,81757931.48
56,2025-08-11,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,Japan,Osaka,30,10771,297.16,3200710.36,2D,Mixed,Medium,No,JioCinema,541,7.6,73,No,,165393730.06
57,2025-08-11,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,Japan,Osaka,73,39609,308.25,12209474.25,IMAX,Mixed,High,No,Crunchyroll,678,8.6,83,Yes,,314578261.38
58,2025-08-11,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,Japan,Osaka,94,56400,288.72,16283808.0,2D,Multiplex,High,No,Prime Video,1292,7.3,70,Yes,,166866277.81
59,2025-08-11,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,Japan,Osaka,55,17998,261.12,4699637.76,2D,Mixed,Medium,Yes,Netflix,449,7.0,63,No,,157027124.8
60,2025-08-11,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,Japan,Osaka,64,30081,283.07,8515028.67,2D,Multiplex,Medium,Yes,Disney+,947,7.4,80,No,,81757931.48
61,2025-08-11,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,USA,Los Angeles,76,23642,445.28,10527309.76,2D,Multiplex,Medium,No,JioCinema,599,8.2,68,Yes,,165393730.06
62,2025-08-11,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,USA,Los Angeles,92,48796,426.86,20829060.56,3D,Multiplex,High,Yes,Crunchyroll,830,8.7,85,Yes,,314578261.38
63,2025-08-11,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,USA,Los Angeles,69,26834,454.84,12205176.56,2D,Multiplex,High,Yes,Prime Video,1077,7.7,63,No,,166866277.81
64,2025-08-11,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,USA,Los Angeles,98,39531,440.38,17408661.78,2D,Mixed,Medium,No,Netflix,506,7.3,53,Yes,,157027124.8
65,2025-08-11,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,USA,Los Angeles,55,19144,441.71,8456096.24,2D,Single Screen,Medium,Yes,Disney+,824,7.4,76,No,,81757931.48
66,2025-08-11,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,USA,New York,56,20993,473.79,9946273.47,2D,Multiplex,Medium,Yes,JioCinema,754,7.7,69,No,,165393730.06
67,2025-08-11,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,USA,New York,93,51117,433.14,22140817.38,IMAX,Multiplex,High,Yes,Crunchyroll,670,8.7,86,Yes,,314578261.38
68,2025-08-11,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,USA,New York,113,67800,454.9,30842220.0,2D,Single Screen,High,Yes,Prime Video,1265,7.8,68,No,,166866277.81
69,2025-08-11,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,USA,New York,99,37771,426.97,16127083.87,2D,Single Screen,Medium,Yes,Netflix,502,6.9,65,Yes,,157027124.8
70,2025-08-11,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,USA,New York,76,31476,449.73,14155701.48,3D,Mixed,Medium,No,Disney+,997,7.5,69,No,,81757931.48
71,2025-08-11,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,Canada,Toronto,76,23946,400.88,9599472.48,2D,Single Screen,Medium,No,JioCinema,676,7.3,67,Yes,,165393730.06
72,2025-08-11,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,Canada,Toronto,101,48710,366.56,17855137.6,2D,Multiplex,High,Yes,Crunchyroll,765,8.6,85,Yes,,314578261.38
73,2025-08-11,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,Canada,Toronto,72,37589,369.59,13892518.51,2D,Multiplex,High,No,Prime Video,1097,7.4,69,Yes,,166866277.81
74,2025-08-11,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,Canada,Toronto,39,14339,406.93,5834969.27,2D,Multiplex,Medium,Yes,Netflix,371,7.4,62,Yes,,157027124.8
75,2025-08-11,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,Canada,Toronto,26,11614,398.06,4623068.84,2D,Mixed,Medium,No,Disney+,1025,8.0,77,No,,81757931.48
76,2025-08-11,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,UK,London,77,33657,402.41,13543913.37,3D,Mixed,Medium,No,JioCinema,534,8.4,72,Yes,,165393730.06
77,2025-08-11,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,UK,London,100,59106,407.69,24096925.14,3D,Multiplex,High,Yes,Crunchyroll,863,9.0,83,Yes,,314578261.38
78,2025-08-11,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,UK,London,75,45000,395.48,17796600.0,2D,Multiplex,High,No,Prime Video,1566,7.7,65,Yes,,166866277.81
79,2025-08-11,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,UK,London,88,36500,404.46,14762790.0,2D,Single Screen,Medium,Yes,Netflix,568,7.3,59,No,,157027124.8
80,2025-08-11,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,UK,London,40,15717,405.34,6370728.78,2D,Mixed,Medium,No,Disney+,958,7.9,70,No,,81757931.48
81,2025-08-18,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Mumbai,98,34343,187.54,6440686.22,3D,Single Screen,Medium,No,JioCinema,454,8.1,71,No,,228370180.56
82,2025-08-18,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Mumbai,121,50322,249.67,12563893.74,IMAX,Mixed,High,Yes,Crunchyroll,823,8.8,87,No,,438781926.21999997
83,2025-08-18,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,India,Mumbai,154,115500,253.67,29298885.0,2D,Single Screen,High,Yes,Prime Video,932,7.6,68,No,,325402311.24
84,2025-08-18,Campus Crush,No,Comedy/Romance,English,USA,2025-08-22,PG-13,India,Mumbai,110,42392,241.56,10240211.52,2D,Mixed,Medium,No,Netflix,883,7.3,67,Yes,,86465685.63
85,2025-08-18,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Mumbai,115,23773,226.31,5380067.63,2D,Single Screen,Medium,Yes,Netflix,397,6.6,60,No,,218052932.78
86,2025-08-18,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,India,Mumbai,79,21497,198.34,4263714.98,2D,Multiplex,Medium,No,Disney+,666,7.1,70,No,,159640307.35000002
87,2025-08-18,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Delhi,108,26917,212.78,5727399.26,2D,Single Screen,Medium,No,JioCinema,710,7.9,76,No,,228370180.56
88,2025-08-18,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Delhi,108,51284,219.68,11266069.12,2D,Multiplex,High,Yes,Crunchyroll,1051,8.7,91,Yes,,438781926.21999997
89,2025-08-18,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,India,Delhi,124,59601,218.46,13020434.46,2D,Multiplex,High,No,Prime Video,1019,7.4,68,Yes,,325402311.24
90,2025-08-18,Campus Crush,No,Comedy/Romance,English,USA,2025-08-22,PG-13,India,Delhi,84,42828,233.08,9982350.24,2D,Single Screen,Medium,Yes,Netflix,690,7.4,65,No,,86465685.63
91,2025-08-18,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Delhi,82,20116,204.59,4115532.44,3D,Multiplex,Medium,No,Netflix,356,6.9,64,No,,218052932.78
92,2025-08-18,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,India,Delhi,107,36392,194.25,7069146.0,2D,Single Screen,Medium,Yes,Disney+,454,7.7,80,No,,159640307.35000002
93,2025-08-18,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Ahmedabad,86,33617,201.84,6785255.28,3D,Mixed,Medium,Yes,JioCinema,600,8.1,68,No,,228370180.56
94,2025-08-18,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Ahmedabad,85,23427,194.59,4558659.93,2D,Single Screen,High,No,Crunchyroll,738,8.7,84,No,,438781926.21999997
95,2025-08-18,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,India,Ahmedabad,85,63750,210.9,13444875.0,2D,Mixed,High,Yes,Prime Video,1004,8.0,67,Yes,,325402311.24
96,2025-08-18,Campus Crush,No,Comedy/Romance,English,USA,2025-08-22,PG-13,India,Ahmedabad,76,30810,194.55,5994085.5,3D,Mixed,Medium,No,Netflix,957,6.8,69,Yes,,86465685.63
97,2025-08-18,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Ahmedabad,76,18974,175.99,3339234.26,2D,Multiplex,Medium,No,Netflix,430,6.8,59,No,,218052932.78
98,2025-08-18,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,India,Ahmedabad,85,28003,245.02,6861295.06,2D,Mixed,Medium,Yes,Disney+,643,7.7,74,No,,159640307.35000002
99,2025-08-18,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,India,Bengaluru,63,17566,183.57,3224590.62,2D,Single Screen,Medium,Yes,JioCinema,577,7.8,74,No,,228370180.56
100,2025-08-18,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,India,Bengaluru,126,47613,255.52,12166073.76,3D,Mixed,High,No,Crunchyroll,697,8.8,82,No,,438781926.21999997
101,2025-08-18,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,India,Bengaluru,147,54088,232.37,12568428.56,2D,Single Screen,High,No,Prime Video,962,7.4,71,No,,325402311.24
102,2025-08-18,Campus Crush,No,Comedy/Romance,English,USA,2025-08-22,PG-13,India,Bengaluru,69,26913,233.5,6284185.5,2D,Mixed,Medium,Yes,Netflix,780,7.3,64,No,,86465685.63
103,2025-08-18,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,India,Bengaluru,96,19064,199.13,3796214.32,2D,Single Screen,Medium,No,Netflix,434,7.3,65,Yes,,218052932.78
104,2025-08-18,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,India,Bengaluru,89,33419,205.93,6881974.67,2D,Mixed,Medium,Yes,Disney+,615,7.3,80,No,,159640307.35000002
105,2025-08-18,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,Japan,Tokyo,75,24046,301.51,7250109.46,2D,Mixed,Medium,No,JioCinema,512,7.8,73,No,,228370180.56
106,2025-08-18,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,Japan,Tokyo,125,41031,315.46,12943639.26,2D,Single Screen,High,Yes,Crunchyroll,856,8.7,82,Yes,,438781926.21999997
107,2025-08-18,Vash 2,Yes,Thriller,Gujarati,India,2025-08-15,UA,Japan,Tokyo,94,49317,334.92,16517249.64,2D,Mixed,High,Yes,Prime Video,1136,7.3,66,Yes,,325402311.24
108,2025-08-18,Campus Crush,No,Comedy/Romance,English,USA,2025-08-22,PG-13,Japan,Tokyo,83,38378,276.58,10614587.24,2D,Mixed,Medium,No,Netflix,1039,7.8,59,Yes,,86465685.63
109,2025-08-18,Street Dancer Teens,No,Dance/Music,Hindi,India,2025-08-01,U,Japan,Tokyo,67,17367,294.8,5119791.6,2D,Single Screen,Medium,No,Netflix,624,7.2,60,Yes,,218052932.78
110,2025-08-18,K‑Pop High,No,Music/Drama,Korean,South Korea,2025-08-15,U,Japan,Tokyo,107,32464,297.85,9669402.4,IMAX,Multiplex,Medium,Yes,Disney+,400,7.4,73,No,,159640307.35000002
111,2025-08-18,Saiyara,No,Romance,Hindi,India,2025-08-08,UA,Japan,Osaka,73,21692,288.09,6249248.28,2D,Multiplex,Medium,No,JioCinema,431,7.9,70,No,,228370180.56
112,2025-08-18,Demon Slayer: Teen Saga,Yes,Anime/Action,Japanese,Japan,2025-08-01,UA,Japan,Osaka,66,29406,284.93,8378651.58,2D,Multiplex,High,Yes,Crunchyroll,818,8.5,88,Yes,,438781926.21999997
